idade,genero,pcd,ufOndeMora,cargoAtual,nivel,tempoDeExperienciaemDados,tempodeExperienciaEmTi
37,Masculino,Não,SP,Analista de BI/BI Analyst,Sênior,de 5 a 6 anos,de 7 a 10 anos
42,Masculino,Não,AL,Analista de BI/BI Analyst,Júnior,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
30,Feminino,Não,SC,Outra Opção,Sênior,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
39,Masculino,Não,,,,Mais de 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
31,Masculino,Não,SP,,,de 7 a 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
35,Masculino,Não,RJ,Cientista de Dados/Data Scientist,Sênior,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
30,Feminino,Não,MG,Analista de Dados/Data Analyst,Pleno,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
35,Masculino,Não,SP,,,de 5 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
29,Masculino,Não,PR,Engenheiro de Machine Learning/ML Engineer/AI Engineer,Sênior,de 5 a 6 anos,de 1 a 2 anos
23,Masculino,Não,SP,Analista de BI/BI Analyst,Júnior,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
28,Masculino,Não,SP,,,de 3 a 4 anos,de 5 a 6 anos
29,Feminino,Não,BA,Outra Opção,Júnior,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
31,Feminino,Não,CE,Analista de Dados/Data Analyst,Pleno,de 1 a 2 anos,Menos de 1 ano
35,Masculino,Não,MG,Analista de Dados/Data Analyst,Júnior,de 1 a 2 anos,de 7 a 10 anos
23,Feminino,Não,MG,Analista de Dados/Data Analyst,Pleno,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
31,Masculino,Não,PE,,,de 7 a 10 anos,de 3 a 4 anos
31,Masculino,Não,ES,Engenheiro de Dados/Data Engineer/Data Architect,Pleno,de 1 a 2 anos,Menos de 1 ano
43,Masculino,Sim,MG,Analista de Dados/Data Analyst,Júnior,de 3 a 4 anos,de 1 a 2 anos
30,Masculino,Não,RJ,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Pleno,de 3 a 4 anos,de 7 a 10 anos
37,Masculino,Não,MG,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Sênior,de 7 a 10 anos,de 7 a 10 anos
30,Masculino,Não,BA,Engenheiro de Dados/Data Engineer/Data Architect,Pleno,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
27,Masculino,Não,RS,Engenheiro de Dados/Data Engineer/Data Architect,Júnior,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
41,Masculino,Não,GO,,,Mais de 10 anos,de 5 a 6 anos
27,Masculino,Não,RJ,Cientista de Dados/Data Scientist,Júnior,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
42,Masculino,Não,SC,Analista de Dados/Data Analyst,Sênior,de 7 a 10 anos,de 5 a 6 anos
30,Masculino,Não,MT,Analista de Dados/Data Analyst,Sênior,de 7 a 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
27,Masculino,Não,SP,Analista de Dados/Data Analyst,Júnior,de 1 a 2 anos,de 1 a 2 anos
29,Feminino,Não,SP,,,de 5 a 6 anos,de 1 a 2 anos
42,Masculino,Não,MG,Outras Engenharias (não inclui dev),Sênior,Mais de 10 anos,Menos de 1 ano
32,Masculino,Não,SP,Engenheiro de Dados/Data Engineer/Data Architect,Sênior,de 5 a 6 anos,de 5 a 6 anos
23,Masculino,Não,SP,Analytics Engineer,Júnior,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
30,Masculino,Não,SP,Analytics Engineer,Sênior,de 7 a 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
41,Masculino,Não,RS,Arquiteto de Dados/Data Architect,Pleno,de 3 a 4 anos,de 1 a 2 anos
41,Masculino,Não,SP,Analytics Engineer,Sênior,Mais de 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
34,Masculino,Não,SP,Cientista de Dados/Data Scientist,Sênior,Mais de 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
33,Masculino,Não,RS,,,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
26,Masculino,Sim,MA,Professor/Pesquisador,Júnior,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
27,Feminino,Não,PR,Cientista de Dados/Data Scientist,Sênior,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
28,Masculino,Não,SC,Analista de Dados/Data Analyst,Pleno,de 5 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
32,Feminino,Não,SP,Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO),Sênior,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
43,Feminino,Sim,RS,Analista de Suporte/Analista Técnico,Júnior,de 3 a 4 anos,Menos de 1 ano
34,Feminino,Não,SP,,,de 5 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
27,Feminino,Não,SP,Engenheiro de Dados/Data Engineer/Data Architect,Júnior,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
35,Masculino,Não,RS,Analista de Negócios/Business Analyst,Sênior,Mais de 10 anos,Mais de 10 anos
39,Masculino,Não,RJ,,,de 5 a 6 anos,Menos de 1 ano
43,Masculino,Não,SP,Analista de Dados/Data Analyst,Sênior,de 5 a 6 anos,de 7 a 10 anos
31,Feminino,Não,SP,,,de 7 a 10 anos,de 3 a 4 anos
28,Masculino,Não,MG,,,de 5 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
29,Masculino,Não,PR,Analista de Dados/Data Analyst,Pleno,de 5 a 6 anos,de 3 a 4 anos
28,Masculino,Não,SP,Engenheiro de Dados/Data Engineer/Data Architect,Pleno,de 5 a 6 anos,de 5 a 6 anos
37,Feminino,Não,SP,Engenheiro de Dados/Data Engineer/Data Architect,Sênior,Mais de 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
34,Masculino,Não,PR,Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO),Sênior,de 3 a 4 anos,de 7 a 10 anos
30,Masculino,Não,MG,Analista de Negócios/Business Analyst,Pleno,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
45,Masculino,Não,SP,Analytics Engineer,Sênior,de 3 a 4 anos,Mais de 10 anos
27,Feminino,Sim,BA,Engenheiro de Dados/Data Engineer/Data Architect,Pleno,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
38,Masculino,Não,SP,Engenheiro de Dados/Data Engineer/Data Architect,Pleno,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
23,Masculino,Não,SP,Engenheiro de Dados/Data Engineer/Data Architect,Pleno,de 1 a 2 anos,Menos de 1 ano
26,Feminino,Não,SP,Analista de BI/BI Analyst,Júnior,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
23,Masculino,Não,GO,Analista de Dados/Data Analyst,Pleno,de 1 a 2 anos,de 1 a 2 anos
37,Masculino,Não,SP,Outra Opção,Sênior,Mais de 10 anos,Menos de 1 ano
45,Feminino,Não,RS,Analista de BI/BI Analyst,Júnior,de 1 a 2 anos,Mais de 10 anos
38,Masculino,Não,SP,Engenheiro de Dados/Data Engineer/Data Architect,Sênior,de 5 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
33,Masculino,Sim,RS,Analista de Dados/Data Analyst,Júnior,de 3 a 4 anos,de 1 a 2 anos
37,Masculino,Não,SP,Engenheiro de Machine Learning/ML Engineer/AI Engineer,Sênior,de 5 a 6 anos,de 7 a 10 anos
26,Masculino,Não,SP,Cientista de Dados/Data Scientist,Pleno,de 3 a 4 anos,Menos de 1 ano
27,Masculino,Não,SC,Cientista de Dados/Data Scientist,Sênior,de 5 a 6 anos,de 3 a 4 anos
39,Masculino,Não,PR,,,Mais de 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
28,Masculino,Não,DF,Engenheiro de Dados/Data Engineer/Data Architect,Sênior,de 3 a 4 anos,Menos de 1 ano
39,Masculino,Não,PR,Engenheiro de Dados/Data Engineer/Data Architect,Sênior,de 7 a 10 anos,Mais de 10 anos
27,Masculino,Não,SP,Analista de Dados/Data Analyst,Pleno,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
23,Masculino,Não,SP,Analista de Dados/Data Analyst,Júnior,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
32,Masculino,Não,RJ,Outra Opção,Pleno,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
28,Masculino,Não,PE,Engenheiro de Dados/Data Engineer/Data Architect,Sênior,de 7 a 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
27,Feminino,Não,PR,Cientista de Dados/Data Scientist,Sênior,de 5 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
28,Feminino,Não,RJ,,,de 5 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
33,Masculino,Não,RJ,Outra Opção,Sênior,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
24,Feminino,Não,SC,Analista de BI/BI Analyst,Júnior,Menos de 1 ano,de 3 a 4 anos
30,Feminino,Não,,Analista de Dados/Data Analyst,Sênior,de 7 a 10 anos,de 1 a 2 anos
30,Masculino,Não,MG,,,de 3 a 4 anos,de 1 a 2 anos
30,Feminino,Não,SP,Outra Opção,Pleno,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
23,Masculino,Sim,RJ,Analista de BI/BI Analyst,Pleno,de 1 a 2 anos,Menos de 1 ano
29,Masculino,Não,SP,Analista de Dados/Data Analyst,Sênior,de 5 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
40,Masculino,Não,DF,Engenheiro de Dados/Data Engineer/Data Architect,Sênior,de 5 a 6 anos,de 3 a 4 anos
28,Feminino,Não,SP,Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO),Pleno,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
31,Masculino,Não,RJ,Engenheiro de Machine Learning/ML Engineer/AI Engineer,Sênior,de 3 a 4 anos,de 3 a 4 anos
30,Feminino,Não,SP,,,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
32,Masculino,Não,MG,Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO),Sênior,de 5 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
31,Feminino,Não,SP,Cientista de Dados/Data Scientist,Pleno,de 5 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
29,Masculino,Não,SP,Engenheiro de Dados/Data Engineer/Data Architect,Sênior,de 5 a 6 anos,de 1 a 2 anos
34,Masculino,Não,SP,,,Não tenho experiência na área de dados,Mais de 10 anos
37,Masculino,Não,SP,Engenheiro de Dados/Data Engineer/Data Architect,Sênior,de 5 a 6 anos,de 1 a 2 anos
29,Masculino,Não,SC,Analista de BI/BI Analyst,Pleno,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
34,Feminino,Não,MA,Analista de Dados/Data Analyst,Pleno,de 1 a 2 anos,Menos de 1 ano
40,Prefiro não informar,Não,SP,Engenheiro de Dados/Data Engineer/Data Architect,Pleno,de 1 a 2 anos,de 1 a 2 anos
32,Feminino,Não,SP,Engenheiro de Dados/Data Engineer/Data Architect,Sênior,de 5 a 6 anos,de 5 a 6 anos
30,Feminino,Não,SP,,,de 3 a 4 anos,de 1 a 2 anos
30,Feminino,Não,SP,Analista de Dados/Data Analyst,Sênior,de 7 a 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
25,Masculino,Não,SP,Analista de Negócios/Business Analyst,Sênior,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
30,Masculino,Não,SP,Analista de Dados/Data Analyst,Júnior,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
46,Masculino,Não,PE,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Pleno,Mais de 10 anos,Mais de 10 anos
38,Masculino,Não,SP,,,Mais de 10 anos,de 1 a 2 anos
28,Masculino,Não,SP,Analista de Dados/Data Analyst,Sênior,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
55,Masculino,Não,SC,Outras Engenharias (não inclui dev),Sênior,de 7 a 10 anos,de 5 a 6 anos
27,Masculino,Não,RS,Outra Opção,Júnior,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
24,Masculino,Não,SP,Cientista de Dados/Data Scientist,Sênior,de 3 a 4 anos,de 1 a 2 anos
31,Feminino,Não,SP,Engenheiro de Dados/Data Engineer/Data Architect,Júnior,de 1 a 2 anos,de 1 a 2 anos
34,Masculino,Não,SP,Engenheiro de Dados/Data Engineer/Data Architect,Sênior,Mais de 10 anos,de 1 a 2 anos
23,Masculino,Não,PE,Analista de Dados/Data Analyst,Pleno,de 1 a 2 anos,de 1 a 2 anos
26,Feminino,Não,MG,Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO),Pleno,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
35,Feminino,Não,SP,Analista de Dados/Data Analyst,Pleno,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
50,Masculino,Não,SP,Analista de BI/BI Analyst,Sênior,de 7 a 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
36,Masculino,Não,RS,Engenheiro de Dados/Data Engineer/Data Architect,Sênior,de 5 a 6 anos,Mais de 10 anos
44,Feminino,Não,SC,Analista de Dados/Data Analyst,Sênior,Mais de 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
25,Masculino,Não,RJ,Engenheiro de Dados/Data Engineer/Data Architect,Pleno,de 3 a 4 anos,de 1 a 2 anos
49,Masculino,Não,DF,,,Mais de 10 anos,Mais de 10 anos
29,Masculino,Não,MG,Analista de Dados/Data Analyst,Pleno,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
29,Masculino,Não,SP,Analytics Engineer,Pleno,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
33,Masculino,Não,SP,,,de 7 a 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
36,Feminino,Não,PR,Analista de BI/BI Analyst,Pleno,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
32,Masculino,Não,SP,Analista de Dados/Data Analyst,Sênior,Mais de 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
29,Masculino,Não,CE,Analista de BI/BI Analyst,Júnior,Menos de 1 ano,de 3 a 4 anos
28,Masculino,Não,,Cientista de Dados/Data Scientist,Sênior,de 5 a 6 anos,Menos de 1 ano
27,Masculino,Não,SP,,,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
26,Masculino,Não,SP,Cientista de Dados/Data Scientist,Sênior,de 1 a 2 anos,Menos de 1 ano
37,Feminino,Não,SP,,,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
19,Feminino,Não,PR,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Júnior,de 1 a 2 anos,de 3 a 4 anos
42,Masculino,Não,SP,,,Mais de 10 anos,de 7 a 10 anos
37,Masculino,Não,RN,,,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
40,Feminino,Não,SP,Analista de Dados/Data Analyst,Sênior,Mais de 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
39,Masculino,Não,ES,,,de 5 a 6 anos,Mais de 10 anos
39,Masculino,Não,SP,,,de 7 a 10 anos,Mais de 10 anos
34,Masculino,Não,CE,Analista de Suporte/Analista Técnico,Júnior,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
36,Masculino,Não,PR,,,Mais de 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
33,Masculino,Não,PR,Cientista de Dados/Data Scientist,Pleno,de 3 a 4 anos,Mais de 10 anos
25,Feminino,Não,SP,Cientista de Dados/Data Scientist,Júnior,de 1 a 2 anos,Menos de 1 ano
26,Masculino,Não,RJ,Engenheiro de Dados/Data Engineer/Data Architect,Pleno,de 3 a 4 anos,Menos de 1 ano
28,Masculino,Não,PE,,,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
32,Masculino,Não,SP,,,Mais de 10 anos,Menos de 1 ano
19,Feminino,Não,SP,Engenheiro de Dados/Data Engineer/Data Architect,Júnior,Menos de 1 ano,de 1 a 2 anos
42,Masculino,Não,RJ,Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO),Pleno,de 3 a 4 anos,de 1 a 2 anos
27,Masculino,Não,SP,Analista de BI/BI Analyst,Sênior,de 5 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
34,Masculino,Não,PR,Cientista de Dados/Data Scientist,Júnior,Menos de 1 ano,Mais de 10 anos
24,Feminino,Não,SP,Analytics Engineer,Pleno,de 3 a 4 anos,de 1 a 2 anos
47,Masculino,Não,SP,,,de 5 a 6 anos,Mais de 10 anos
37,Masculino,Não,MS,,,de 5 a 6 anos,Menos de 1 ano
29,Masculino,Não,SP,,,de 3 a 4 anos,de 1 a 2 anos
38,Masculino,Não,,Outra Opção,Pleno,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
29,Feminino,Não,SP,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Júnior,Não tenho experiência na área de dados,de 5 a 6 anos
21,Masculino,Não,PR,Analista de Dados/Data Analyst,Júnior,Menos de 1 ano,de 3 a 4 anos
38,Feminino,Não,RS,Analytics Engineer,Pleno,de 1 a 2 anos,Mais de 10 anos
20,Feminino,Não,DF,Outra Opção,Júnior,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
20,Masculino,Não,SP,Analista de Dados/Data Analyst,Júnior,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
24,Masculino,Não,RS,Outra Opção,Júnior,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
33,Masculino,Não,MG,Cientista de Dados/Data Scientist,Sênior,de 3 a 4 anos,de 7 a 10 anos
30,Feminino,Sim,SP,Analista de BI/BI Analyst,Sênior,Mais de 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
31,Masculino,Não,CE,,,de 3 a 4 anos,Menos de 1 ano
35,Feminino,Não,SP,Analista de BI/BI Analyst,Sênior,de 1 a 2 anos,Menos de 1 ano
26,Masculino,Não,SP,Analista de Dados/Data Analyst,Pleno,de 1 a 2 anos,Menos de 1 ano
35,Masculino,Não,SC,Analista de Dados/Data Analyst,Pleno,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
38,Masculino,Não,SP,,,Mais de 10 anos,de 3 a 4 anos
30,Masculino,Não,SP,Analista de Dados/Data Analyst,Sênior,de 1 a 2 anos,de 1 a 2 anos
38,Masculino,Não,RJ,,,Mais de 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
22,Feminino,Não,RJ,Analista de Dados/Data Analyst,Júnior,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
34,Feminino,Não,SP,Analista de Dados/Data Analyst,Sênior,Mais de 10 anos,de 1 a 2 anos
38,Feminino,Não,PR,,,Mais de 10 anos,Menos de 1 ano
43,Masculino,Não,SP,,,de 5 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
45,Feminino,Não,RJ,Cientista de Dados/Data Scientist,Sênior,de 5 a 6 anos,Mais de 10 anos
52,Masculino,Não,SP,,,de 1 a 2 anos,de 1 a 2 anos
37,Masculino,Não,SP,Analista de Dados/Data Analyst,Sênior,Mais de 10 anos,de 5 a 6 anos
31,Masculino,Não,MG,Engenheiro de Dados/Data Engineer/Data Architect,Sênior,de 3 a 4 anos,Menos de 1 ano
28,Masculino,Sim,PR,Analista de Dados/Data Analyst,Pleno,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
19,Masculino,Não,GO,Analista de Negócios/Business Analyst,Pleno,de 1 a 2 anos,de 3 a 4 anos
35,Masculino,Não,SP,Analista de Negócios/Business Analyst,Sênior,de 7 a 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
28,Feminino,Sim,RS,Analista de Dados/Data Analyst,Pleno,de 1 a 2 anos,Menos de 1 ano
31,Feminino,Não,SP,Engenheiro de Dados/Data Engineer/Data Architect,Sênior,de 7 a 10 anos,de 5 a 6 anos
30,Feminino,Não,PR,Analista de Negócios/Business Analyst,Sênior,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
32,Masculino,Não,,Analista de Dados/Data Analyst,Pleno,de 3 a 4 anos,de 1 a 2 anos
34,Masculino,Não,,,,de 7 a 10 anos,Mais de 10 anos
39,Masculino,Não,SP,,,de 3 a 4 anos,de 1 a 2 anos
30,Masculino,Não,CE,,,de 7 a 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
29,Masculino,Não,SP,Analytics Engineer,Sênior,de 7 a 10 anos,de 5 a 6 anos
29,Masculino,Não,PE,Engenheiro de Dados/Data Engineer/Data Architect,Pleno,de 3 a 4 anos,de 5 a 6 anos
37,Feminino,Não,PR,Analista de Dados/Data Analyst,Júnior,Menos de 1 ano,de 3 a 4 anos
32,Masculino,Não,SC,Analista de Suporte/Analista Técnico,Pleno,de 5 a 6 anos,de 3 a 4 anos
